Page URL with Redirect Link,Initial Redirect URL,Final Destination URL,Status code,Discovered
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/landscape-lighting,https://azturfsuppliers.com/landscape-lighting/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/pavers,https://azturfsuppliers.com/pavers/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/contact,https://azturfsuppliers.com/contact/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/about,https://azturfsuppliers.com/about/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/phoenix,https://azturfsuppliers.com/phoenix/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/winter-series,https://azturfsuppliers.com/winter-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/bermuda-blend,https://azturfsuppliers.com/bermuda-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/putting-green,https://azturfsuppliers.com/putting-green/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/san-tan-valley,https://azturfsuppliers.com/san-tan-valley/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/reviews,https://azturfsuppliers.com/reviews/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/chandler,https://azturfsuppliers.com/chandler/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/homeowners,https://azturfsuppliers.com/homeowners/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/apache-junction,https://azturfsuppliers.com/apache-junction/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/locations,https://azturfsuppliers.com/locations/,308,18 May 2026 (00:27 UTC)
